Rxn,cytosol,plastid,plasma membrane,mitochondria,peroxisome,vacuole,thylakoid,inner mitochondrial matrix
3_6_3_4_RXN,1,1,0,0,0,0,0,0
PSII_RXN,1,1,0,0,0,0,1,0
3_6_3_6_RXN_mod,0,1,0,0,0,0,1,0
3_6_3_16_RXN,1,1,0,0,0,0,0,0
1_18_1_2_RXN,0,1,0,0,0,0,1,0
PLASTOQUINOL__PLASTOCYANIN_REDUCTASE_RXN,0,1,0,0,0,0,1,1
NADH_DEHYDROG_A_RXN,0,0,0,1,0,0,0,1
CYTOCHROME_C_OXIDASE_RXN,0,0,0,1,0,0,0,1
SUCCINATE_DEHYDROGENASE_UBIQUINONE_RXN,0,0,0,1,0,0,0,1
rxn_15816,0,0,0,1,0,0,0,1
ATP_CITRATE_PRO_S__LYASE_RXN,1,0,0,1,0,0,0,0
RXN1G_1437,1,0,0,0,0,0,0,0
RXN1G_1436,1,0,0,0,0,0,0,0
RXN1G_1435,1,0,0,0,0,0,0,0
ADENOSINE_NUCLEOSIDASE_RXN,1,1,0,0,0,0,0,0
RXN1G_1439,1,0,0,0,0,0,0,0
RXN1G_1438,1,0,0,0,0,0,0,0
rxn_9802,0,1,0,0,0,0,0,0
rxn_9803,0,1,0,0,0,0,0,0
rxn_9805,0,1,0,0,0,0,0,0
rxn_9806,0,1,0,0,0,0,0,0
3_2_1_114_RXN,1,0,0,0,0,0,0,0
AIRCARBOXY_RXN,0,1,0,0,0,0,0,0
RXN_6161,1,0,0,0,0,0,0,0
FORMAMIDASE_RXN,1,0,0,0,0,0,0,0
RXN_4021,1,1,1,1,0,0,0,0
RXN_7784,1,0,0,0,0,0,0,0
RXN_7782,1,0,0,0,0,0,0,0
P_PANTOCYSLIG_RXN,0,1,0,0,0,0,0,0
R01312,0,1,0,0,0,0,0,0
NAPHTHOATE_SYN_RXN,1,0,0,0,0,0,0,0
METHIONINE_GAMMA_LYASE_RXN,1,0,0,0,0,0,0,0
RXN_7163,0,1,0,0,0,0,0,0
RXN_7162,1,0,0,0,0,0,0,0
2_7_7_64_RXN,1,0,0,0,0,0,0,0
3_2_1_1_RXN,1,0,0,0,0,0,0,0
R02594,1,0,0,0,0,0,0,0
R02595,1,0,0,0,0,0,0,0
RXN_5985,0,0,0,1,0,0,0,0
3_5_1_26_RXN,1,0,0,0,0,0,0,0
2_1_1_64_RXN,1,0,0,0,0,0,0,0
1_1_1_255_RXN,1,0,0,0,0,0,0,0
4_2_1_58_RXN,0,1,0,0,0,0,0,0
RIBOFLAVINKIN_RXN,0,1,0,0,0,0,0,0
HALOALKANE_DEHALOGENASE_RXN,1,1,0,0,0,0,0,0
SERINE_O_ACETTRAN_RXN,1,1,0,1,0,0,0,0
RXN_17891,1,0,0,0,0,0,0,0
RXN_17890,1,0,0,0,0,0,0,0
2_4_1_222_RXN,0,0,1,0,0,1,0,0
ADCLY_RXN,0,1,0,0,0,0,0,0
GLYCEROL_3_P_ACYLTRANSFER_RXN,1,0,0,0,0,0,0,0
1_11_1_12_RXN,0,1,0,0,0,0,0,0
S_2_HYDROXY_ACID_OXIDASE_RXN,0,0,0,0,1,0,0,0
CORTISONE_BETA_REDUCTASE_RXN,1,0,0,0,0,0,0,0
mzrxn26,0,0,0,0,0,0,0,0
PROPCOASYN_RXN,0,1,0,0,1,0,0,0
